Rank,Strategy_Index,Strategy_Name,Algorithm,Weight
1,1156,SENSEX 1137-1236 SL81%TP81%,simulated_annealing,0.02857142857142857
2,7873,SENSEX 1118-1205 SL9%TP18%,simulated_annealing,0.02857142857142857
3,7411,SENSEX 1406-1506 SL72%TP18%,simulated_annealing,0.02857142857142857
4,6773,SENSEX 1048-1205 SL36%TP45%,simulated_annealing,0.02857142857142857
5,3438,SENSEX 1107-1206 SL18%TP72%,simulated_annealing,0.02857142857142857
6,3239,SENSEX 948-1205 SL18%TP36%,simulated_annealing,0.02857142857142857
7,5568,SENSEX 958-1205 SL9%TP90%,simulated_annealing,0.02857142857142857
8,6499,SENSEX 1006-1107 SL72%TP36%,simulated_annealing,0.02857142857142857
9,10473,SENSEX 1048-1205 SL45%TP63%,simulated_annealing,0.02857142857142857
10,5071,SHORTSTRADDLE ATM 1502-1524 SL98%,simulated_annealing,0.02857142857142857
11,3933,SENSEX 1412-1527 SL54%TP63%,simulated_annealing,0.02857142857142857
12,3897,SENSEX 1238-1408 SL18%TP72%,simulated_annealing,0.02857142857142857
13,7025,SENSEX 1306-1406 SL36%TP81%,simulated_annealing,0.02857142857142857
14,10467,SENATM1DTE 1038-1205 SL2X56%TP56%,simulated_annealing,0.02857142857142857
15,3850,SENSEX 1248-1408 SL18%TP72%,simulated_annealing,0.02857142857142857
16,1288,SENSEX 1148-1205 SL81%TP45%,simulated_annealing,0.02857142857142857
17,5522,SENSEX 948-1205 SL9%TP72%,simulated_annealing,0.02857142857142857
18,6914,SENSEX 1346-1446 SL36%TP72%,simulated_annealing,0.02857142857142857
19,7870,SENSEX 958-1205 SL72%TP18%,simulated_annealing,0.02857142857142857
20,5214,SENSEX 1226-1326 SL54%TP72%,simulated_annealing,0.02857142857142857
21,8396,SENSEX 1432-1527 SL27%TP45%,simulated_annealing,0.02857142857142857
22,10497,SENSEX 1047-1146 SL45%TP27%,simulated_annealing,0.02857142857142857
23,7273,SENSEX 1208-1408 SL9%TP45%,simulated_annealing,0.02857142857142857
24,7381,SENSEX 916-1205 SL72%TP36%,simulated_annealing,0.02857142857142857
25,7143,SENSEX 1502-1527 SL36%TP63%,simulated_annealing,0.02857142857142857
26,5727,SENSEX 1316-1416 SL9%TP72%,simulated_annealing,0.02857142857142857
27,6904,SENSEX 1356-1456 SL36%TP81%,simulated_annealing,0.02857142857142857
28,10128,SENSEX 1512-1527 SL27%TP18%,simulated_annealing,0.02857142857142857
29,4906,SENSEX 1058-1205 SL54%TP27%,simulated_annealing,0.02857142857142857
30,3504,SENATM1DTE 1432-1527 SL21%TP2X21%,simulated_annealing,0.02857142857142857
31,5228,SHORTSTRADDLE ATM 938-1205 SL21%,simulated_annealing,0.02857142857142857
32,9615,SENSEX 1346-1446 SL90%TP36%,simulated_annealing,0.02857142857142857
33,3534,SENATM1DTE 1426-1525 SL49%TP2X49%,simulated_annealing,0.02857142857142857
34,10315,SENATM1DTE 1018-1205 SL2X28%TP28%,simulated_annealing,0.02857142857142857
35,7919,SENSEX 1256-1356 SL27%TP18%,simulated_annealing,0.02857142857142857
